iter	Passed	Remaining
1349	8380	4035
1350	8385	4028
1351	8391	4021
1352	8396	4015
1353	8401	4008
1354	8406	4001
1355	8412	3995
1356	8417	3988
1357	8422	3981
1358	8428	3975
1359	8432	3968
1360	8437	3961
1361	8443	3955
1362	8448	3948
1363	8453	3941
1364	8459	3935
1365	8464	3928
1366	8469	3921
1367	8475	3915
1368	8481	3909
1369	8486	3902
1370	8492	3896
1371	8497	3889
1372	8502	3882
1373	8509	3876
1374	8514	3870
1375	8520	3863
1376	8525	3857
1377	8531	3850
1378	8536	3844
1379	8542	3837
1380	8548	3831
1381	8554	3825
1382	8559	3818
1383	8565	3812
1384	8571	3806
1385	8577	3799
1386	8582	3793
1387	8588	3786
1388	8594	3780
1389	8599	3773
1390	8603	3766
1391	8608	3760
1392	8613	3753
1393	8619	3746
1394	8624	3740
1395	8629	3733
1396	8634	3727
1397	8640	3720
1398	8645	3713
1399	8650	3707
1400	8656	3701
1401	8661	3694
1402	8667	3688
1403	8673	3681
1404	8678	3675
1405	8684	3668
1406	8690	3662
1407	8695	3656
1408	8700	3649
1409	8706	3643
1410	8711	3636
1411	8716	3629
1412	8723	3623
1413	8728	3617
1414	8733	3610
1415	8741	3605
1416	8749	3599
1417	8757	3594
1418	8765	3588
1419	8773	3583
1420	8780	3577
1421	8787	3571
1422	8795	3566
1423	8801	3560
1424	8806	3553
1425	8812	3547
1426	8817	3540
1427	8823	3534
1428	8828	3527
1429	8833	3521
1430	8838	3514
1431	8844	3507
1432	8849	3501
1433	8854	3495
1434	8860	3488
1435	8866	3482
1436	8871	3475
1437	8877	3469
1438	8882	3462
1439	8887	3456
1440	8893	3449
1441	8898	3443
1442	8904	3437
1443	8909	3430
1444	8915	3424
1445	8920	3417
1446	8926	3411
1447	8931	3404
1448	8937	3398
1449	8942	3391
1450	8947	3385
1451	8953	3379
1452	8959	3372
1453	8964	3366
1454	8969	3359
1455	8975	3353
1456	8980	3346
1457	8985	3340
1458	8991	3334
1459	8997	3327
1460	9002	3321
1461	9008	3314
1462	9013	3308
1463	9018	3301
1464	9024	3295
1465	9029	3289
1466	9033	3281
1467	9038	3275
1468	9043	3269
1469	9048	3262
1470	9054	3256
1471	9059	3249
1472	9062	3242
1473	9067	3235
1474	9073	3229
1475	9078	3223
1476	9084	3216
1477	9089	3210
1478	9094	3203
1479	9099	3197
1480	9106	3191
1481	9112	3184
1482	9118	3178
1483	9123	3172
1484	9128	3165
1485	9134	3159
1486	9139	3152
1487	9144	3146
1488	9149	3140
1489	9155	3133
1490	9161	3127
1491	9166	3121
1492	9174	3115
1493	9180	3109
1494	9187	3103
1495	9193	3097
1496	9199	3091
1497	9205	3084
1498	9210	3078
1499	9216	3072
1500	9222	3065
1501	9227	3059
1502	9233	3053
1503	9238	3046
1504	9243	3040
1505	9250	3034
1506	9256	3028
